0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.052057005,0.16808452,0.22756945,0.22849701,0.049257264,-0.26420268,-0.46040782,-0.55717564,-0.64812803,-0.50992566,-0.31505445,-0.48119265,-0.26443228,0.4354249,0.32804638,0.83204275,4.3815427,6.2467585,-0.18990453,-9.728469,-11.732099,-6.9093757,-3.1243868,-1.8419092,-0.24390998,1.5290034,2.2470098,2.4282079,2.6642973,2.7854006,2.7001438,2.4866328,2.2103434,1.9215691,1.6790997,1.4795758,1.2884535,1.0554078,0.8250226,0.6557537,0.44891784,0.19387095,-0.042848617,-0.21173987,-0.3114252,-0.35676667,-0.33843276,-0.2955675,-0.28696516,-0.4047485
0.14349693,0.14942208,0.15825437,0.21247667,0.2663556,0.3947733,0.5781029,0.6330477,0.6565962,0.9757488,1.4316694,2.0620675,3.5363145,5.2763557,6.0893474,7.1890373,8.965432,6.1007833,-4.759335,-15.752756,-17.24294,-11.291133,-5.7318,-2.739195,-0.7618521,0.38825774,0.7846527,1.1651314,1.3873428,1.1526521,0.9671454,1.0312002,1.0227648,0.9402459,0.97240853,1.0584116,1.062584,0.9543672,0.8716575,0.95069724,1.0438641,0.86124617,0.629449,0.6199163,0.6473209,0.5077506,0.3108021,0.16264038,0.042481504,-0.06778717
1.2691216,1.4108918,1.4941884,1.6672041,1.7624352,1.7294729,1.7338439,1.8028058,1.8587323,2.0080607,2.298199,2.5435245,2.7502673,3.2067034,3.9200857,4.789786,5.4382963,3.5887237,-3.277355,-12.556715,-17.476297,-15.755294,-11.496085,-7.9886045,-4.921318,-2.0821073,-0.2058583,0.76067895,1.3982848,1.8513522,2.1320245,2.2977033,2.407978,2.4918694,2.5335486,2.4218793,2.2828636,2.1817708,2.072376,2.0162454,2.0565941,1.9928534,1.8069654,1.5576743,1.1525117,0.76146096,0.7073591,0.74409366,0.59272844,0.42783424
1.4316131,1.5097632,1.5203254,1.6361521,1.9253187,2.238567,2.409664,2.3986714,2.392414,2.7092812,3.1029603,2.97721,2.7515957,3.1407483,3.2790844,2.4530644,1.3510404,-1.5495728,-8.922074,-17.275154,-19.064125,-13.80635,-7.7212276,-3.9684482,-1.4100107,0.48141587,1.4953535,2.0362492,2.3864977,2.386947,2.2057765,2.1188393,2.099664,2.0376863,1.9538374,1.8889397,1.8215561,1.8150942,1.9080079,2.0030186,1.9695908,1.8552886,1.7052661,1.4523237,1.1926271,1.1423116,1.1909577,1.0916078,0.90556234,0.7207168
0.5219437,0.57509446,0.8137472,1.0512965,1.0374981,0.90410554,0.913403,1.0816479,1.3318464,1.6861994,2.029308,2.3769631,3.246,4.6328373,5.4155183,5.087748,4.2972946,2.4315398,-2.2432513,-8.501385,-12.180246,-11.560612,-8.942958,-6.583189,-4.692071,-3.1160486,-1.9652637,-0.9651811,0.047645975,0.82798547,1.2562094,1.5606973,1.8299628,2.0381582,2.1858025,2.1508749,1.8811134,1.6155227,1.5711854,1.6810374,1.6772485,1.3845882,0.9610694,0.8181617,1.055818,1.2079974,1.0618675,0.9174397,0.87511206,0.6796525
0.9266778,1.0371201,1.2669313,1.522358,1.7248981,1.7354683,1.627634,1.589855,1.5806441,1.6464525,1.7664725,1.7646557,1.8568561,2.5140376,3.163272,2.584147,0.42070365,-3.4656398,-8.978446,-13.655817,-14.02093,-10.373186,-6.278357,-3.483974,-1.1879995,0.81971705,1.7797441,1.7913421,1.8747898,2.3945863,2.716191,2.476923,2.2084067,2.231792,2.1924663,2.132716,2.27746,2.3250759,1.9619877,1.5735425,1.4743106,1.5040427,1.4357332,1.2024744,0.89951164,0.8293272,0.8345536,0.6030883,0.23884566,0.051467143
1.1180036,1.2791111,1.3468026,1.5257427,1.8707869,2.0757465,1.9794508,1.9034861,2.08094,2.3052926,2.411132,2.5745003,3.0054784,3.8499029,4.8850555,4.7905774,1.9119445,-3.4209213,-8.55511,-11.428714,-12.138751,-11.4463,-9.669587,-7.225785,-4.7420626,-2.603529,-0.9005334,0.27082065,0.98277855,1.515863,1.9228325,2.1068833,2.1640406,2.2165377,2.2193792,2.20352,2.3181336,2.44684,2.4191453,2.2925694,2.269255,2.2894437,2.1736183,1.8648688,1.5586785,1.3990108,1.2521609,1.0094727,0.7761426,0.607546
1.2968922,1.3053771,1.2850064,1.4894339,1.7708802,1.7637645,1.6467651,1.7581582,1.9323201,1.9962162,2.138468,2.3083289,2.389195,2.5807414,2.821898,2.6349123,1.7436352,-0.48166615,-4.75011,-9.608588,-11.861248,-10.474666,-7.6128726,-5.2019877,-3.4319193,-2.1903474,-1.443134,-0.76271814,0.0009280436,0.62908715,1.1241295,1.5719625,1.8200428,1.9018188,2.0199606,2.0396745,1.8497,1.7149676,1.7021303,1.7223406,1.8096666,1.9054925,1.8197746,1.5969231,1.4629964,1.4303086,1.3776388,1.2316476,0.9920091,0.77917284
0.25242162,0.10999582,-0.034440245,0.020971365,0.11676922,0.10634641,0.047980413,-0.052962095,-0.10328714,0.13109204,0.42011642,0.5827606,1.0736387,1.7293322,1.5708016,2.0560932,5.0869985,5.985067,-1.3494027,-11.432543,-13.179861,-7.071947,-2.1744683,-1.2227012,-0.8799751,-0.13219495,0.12073055,0.32656148,1.0050757,1.7230452,2.2671428,2.8033972,3.1518428,2.9230146,2.1317723,1.270107,0.77029556,0.64229715,0.69429827,0.83304536,0.99136734,1.0544245,0.89728945,0.64402395,0.5251976,0.53840506,0.5025524,0.38748512,0.2352783,0.0035455397
1.6693,1.5658348,1.6069292,1.7567576,1.8878978,2.024589,2.2062116,2.3962882,2.4806554,2.4090273,2.375389,2.5606923,2.735478,2.8041434,2.9383614,2.3460822,-0.5146131,-5.2965193,-9.591,-11.976217,-12.68844,-11.718662,-9.003955,-5.6969566,-3.03059,-1.0834621,0.5001144,1.5445219,1.9133278,1.9328064,2.0762355,2.3524797,2.4518816,2.3633459,2.2912815,2.1941564,1.9773787,1.8449374,2.0022883,2.2099953,2.2144287,2.0436177,1.8384954,1.706966,1.6556402,1.5025755,1.153782,0.8846206,0.7981983,0.701177
