0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
496,91,52,18,8,3,4,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,11,9,7,5,5,10,9,6,2,3,2,1,1,1,4,3,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,2,1,2,0,0,1,1,1,1,1,0,4,0,1
19,1,0,0,2,2,2,6,8,10,13,15,15,13,6,11,10,10,8,4,10,5,6,8,4,5,4,7,6,6,5,5,2,3,3,4,3,3,5,4,1,1,2,5,3,3,4,2,1,3,1,2,0,3,3,0,1,2,3,1,2,2,0,1,1,0,2,0,2,2,1,2,1,0,1,0,3,1,0,2,1,0,1,3,0,1,0,2,1,0,2,0,0,0,0,0,1,0,1,1
3,0,0,2,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,2,0,0,1,1
25,284,383,201,135,82,59,58,48,22,25,28,17,9,20,13,12,11,18,17,16,18,16,21,25,27,19,22,33,36,28,22,27,27,15,28,17,25,21,14,11,16,10,10,8,8,8,4,3,4,4,4,4,3,2,3,1,1,2,1,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
430,417,362,319,277,250,215,210,185,171,165,142,133,102,116,87,96,76,64,47,62,63,37,46,37,39,39,21,32,28,33,16,19,20,12,14,16,17,12,10,8,6,3,5,8,7,2,5,5,4,1,2,1,3,4,1,1,1,0,2,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,3,0,0,1,2,2,5,9,9,13,11,18,13,7,12,6,14,7,4,9,5,8,9,4,4,4,8,4,5,8,4,2,4,3,1,6,3,3,5,1,2,1,5,4,3,3,3,1,3,1,2,1,2,4,0,1,2,3,1,1,3,0,1,1,0,2,0,2,2,1,2,1,0,1,0,3,1,0,2,1,0,1,3,0,1,0,2,1,0,2,0,0,0,0,0,1,0,1,1
23,7,4,12,46,70,50,50,28,21,28,21,12,7,6,4,0,3,4,3,3,1,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2
204,14,20,21,24,17,14,15,9,7,4,1,2,1,1,1,1,2,0,1,1,1,0,0,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,1,4,2,0,1,6,3,1,4,2,3,4,5,2,3,3,3,2,2,1,2,0,2,4,3,2,4,3,2,3,2,1,2,2,1,0,1,0,1,4,1,4,0,2,2,3,1,1,1,0,0,1
18,11,14,5,5,2,4,2,1,8,5,5,9,8,7,5,5,1,3,6,1,4,4,3,3,1,2,3,8,2,2,0,1,4,0,2,2,1,1,2,0,1,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,2,1,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,1,0,0,0,2,2
